Date,Ticker,Company Name,Industry,Adj Close,Volume,SP500_Adj_Close
2010-10-01,AAL,American Airlines Group Inc,Aviation,8.758,3603800.0,1146.24
2010-10-04,AAL,American Airlines Group Inc,Aviation,8.598,3856800.0,1137.03
2010-10-05,AAL,American Airlines Group Inc,Aviation,8.702,3896600.0,1160.75
2010-10-06,AAL,American Airlines Group Inc,Aviation,8.702,3230200.0,1159.97
2010-10-07,AAL,American Airlines Group Inc,Aviation,8.711,3877700.0,1158.06
2010-10-08,AAL,American Airlines Group Inc,Aviation,8.551,4455700.0,1165.15
2010-10-11,AAL,American Airlines Group Inc,Aviation,8.485,2231500.0,1165.32
2010-10-12,AAL,American Airlines Group Inc,Aviation,9.003,10884900.0,1169.77
2010-10-13,AAL,American Airlines Group Inc,Aviation,9.239,7754800.0,1178.1
2010-10-14,AAL,American Airlines Group Inc,Aviation,9.22,3760500.0,1173.81
2010-10-15,AAL,American Airlines Group Inc,Aviation,9.145,3410500.0,1176.19
2010-10-18,AAL,American Airlines Group Inc,Aviation,9.541,6040200.0,1184.71
2010-10-19,AAL,American Airlines Group Inc,Aviation,9.512,8197200.0,1165.9
2010-10-20,AAL,American Airlines Group Inc,Aviation,10.219,19890000.0,1178.17
2010-10-21,AAL,American Airlines Group Inc,Aviation,10.134,9956400.0,1180.26
2010-10-22,AAL,American Airlines Group Inc,Aviation,10.191,3485500.0,1183.08
2010-10-25,AAL,American Airlines Group Inc,Aviation,10.917,12724300.0,1185.62
2010-10-26,AAL,American Airlines Group Inc,Aviation,11.058,9933800.0,1185.64
2010-10-27,AAL,American Airlines Group Inc,Aviation,11.313,6854000.0,1182.45
2010-10-28,AAL,American Airlines Group Inc,Aviation,11.2,6836500.0,1183.78
2010-10-29,AAL,American Airlines Group Inc,Aviation,11.115,5499700.0,1183.26
2010-11-01,AAL,American Airlines Group Inc,Aviation,10.992,4875500.0,1184.38
2010-11-02,AAL,American Airlines Group Inc,Aviation,11.237,3393600.0,1193.57
2010-11-03,AAL,American Airlines Group Inc,Aviation,11.379,5059800.0,1197.96
2010-11-04,AAL,American Airlines Group Inc,Aviation,10.898,10437800.0,1221.06
2010-11-05,AAL,American Airlines Group Inc,Aviation,10.908,5840100.0,1225.85
2010-11-08,AAL,American Airlines Group Inc,Aviation,10.587,8714900.0,1223.25
2010-11-09,AAL,American Airlines Group Inc,Aviation,10.361,5591600.0,1213.4
2010-11-10,AAL,American Airlines Group Inc,Aviation,10.163,5518700.0,1218.71
2010-11-11,AAL,American Airlines Group Inc,Aviation,10.2,3979000.0,1213.54
2010-11-12,AAL,American Airlines Group Inc,Aviation,10.021,3097700.0,1199.21
2010-11-15,AAL,American Airlines Group Inc,Aviation,10.097,3616900.0,1197.75
